Name,Calories,Fat,Saturated Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugar,Protein,Vitamins,Minerals,ServingSize,ServingType
Scrambled eggs,166,12.21,3.68,352.0,280.0,2.20,0.0,1.73,11.09,"[D:2.5]","[Calcium:56.0]",100,plate
Oatmeal (cooked),71,1.50,0.30,0.0,0.0,12.00,1.70,0.50,2.50,"[A:1.0]","[Calcium:60.0]",100,bowl
Bacon,541,41.78,14.00,70.0,1500.0,1.43,0.0,0.0,37.04,"[A:1.0]","[Calcium:20.0]",100,quantity
Greek yogurt (plain),59,0.39,0.10,5.0,36.0,3.60,0.0,3.60,10.30,"[A:1.0]","[Calcium:110.0]",100,pack
Granola bar,429,20.00,3.00,0.0,0.0,64.40,8.00,24.00,10.10,"[A:1.0]","[Calcium:20.0]",100,quantity
Fruit smoothie,80,0.87,0.10,0.0,0.0,18.16,2.60,15.00,1.06,"[A:1.0]","[Calcium:30.0]",100,glass
Cereal with milk,218,3.32,0.50,0.0,150.0,43.77,1.00,10.00,5.23,"[D:2.5]","[Calcium:120.0]",100,bowl
Grilled chicken breast,165,3.60,1.00,85.0,70.0,0.00,0.0,0.0,31.00,"[A:1.0]","[Calcium:13.0]",100,plate
Cheeseburger,250,12.00,5.00,70.0,500.0,30.00,1.00,5.00,15.00,"[A:1.0]","[Calcium:150.0]",100,quantity
Caesar salad (with dressing),180,14.00,3.00,20.0,400.0,9.00,2.00,3.00,5.00,"[A:1.0]","[Calcium:100.0]",100,bowl
Spaghetti with marinara sauce,130,1.5,0.3,0.0,200.0,27.0,2.0,6.0,5.0,"[A:1.0]","[Calcium:30.0]",100,plate
Cheese pizza,266,10.0,5.0,20.0,600.0,33.0,2.0,4.0,12.0,"[D:2.5]","[Calcium:200.0]",100,slice
Fried rice,180,7.0,1.5,0.0,500.0,22.0,1.0,2.0,6.0,"[A:1.0]","[Calcium:15.0]",100,plate  
Tuna sandwich,200,6.0,1.0,30.0,400.0,20.0,2.0,3.0,15.0,"[D:2.5]","[Calcium:40.0]",100,quantity  
BLT sandwich,250,12.0,3.0,40.0,700.0,25.0,2.0,5.0,13.0,"[A:1.0]","[Calcium:50.0]",100,quantity 
Chicken soup,40,1.0,0.3,10.0,400.0,5.0,1.0,1.0,3.0,"[A:1.0]","[Calcium:20.0]",100,bowl 
Veggie burger,215,10.0,2.0,0.0,450.0,20.0,5.0,7.0,12.0,"[A:1.0]","[Calcium:70.0]",100,quantity
Steak (grilled),250,15.0,6.0,70.0,80.0,0.0,0.0,0.0,26.0,"[A:1.0]","[Calcium:10.0]",100,quantity 
Grilled salmon,206,13.0,3.0,55.0,60.0,0.0,0.0,0.0,22.0,"[D:3.5]","[Calcium:20.0]",100,slice  
Mashed potatoes,90,3.0,1.5,0.0,300.0,15.0,1.5,2.0,2.0,"[A:1.0]","[Calcium:15.0]",100,quantity 
Roasted vegetables,100,5.0,0.7,0.0,20.0,12.0,3.0,4.0,2.0,"[A:850.0,C:25.0]","[Calcium:40.0,Iron:1.2]",100,bowl
Macaroni and cheese,140,6.5,3.3,20.0,400.0,15.0,1.0,2.0,6.0,"[A:150.0,D:1.5]","[Calcium:150.0,Iron:0.5]",100,plate
Beef chili,120,3.0,1.1,25.0,500.0,10.0,2.5,3.0,12.0,"[B6:0.4,C:4.0]","[Iron:2.8,Zinc:2.5]",100,bowl
Baked potato,160,0.2,0.0,0.0,7.0,37.0,3.8,1.7,4.3,"[C:17.0,B6:0.3]","[Potassium:535.0,Iron:1.0]",100,plate
Caesar quantity,220,8.0,3.0,30.0,600.0,28.0,3.0,2.0,12.0,"[A:300.0,C:6.0]","[Calcium:150.0,Iron:1.5]",100,pack
Veggie stir-fry,110,4.0,0.5,0.0,30.0,15.0,4.0,5.0,3.5,"[A:1200.0,C:35.0]","[Calcium:50.0,Iron:1.2]",100,plate
Apple,52,0.2,0.0,0.0,1.0,14.0,2.4,10.0,0.3,"[C:4.6]","[Potassium:107.0]",100,quantity
Banana,89,0.3,0.1,0.0,1.0,23.0,2.6,12.0,1.1,"[C:8.7,B6:0.4]","[Potassium:358.0]",100,quantity
Mixed nuts,607,54.0,7.0,0.0,5.0,21.0,8.0,4.0,20.0,"[E:7.0,B6:0.5]","[Magnesium:150.0,Iron:3.0]",100,pack
Potato chips,536,35.0,5.0,0.0,500.0,53.0,4.0,0.3,6.0,"[C:2.0]","[Potassium:700.0]",100,pack
Chocolate chip cookie,160,8.0,4.5,15.0,150.0,22.0,1.0,12.0,2.0,"[A:100.0]","[Calcium:40.0]",100,quantity
Ice cream,207,11.0,7.0,44.0,80.0,24.0,0.0,21.0,3.5,"[A:120.0,D:1.2]","[Calcium:128.0]",100,quantity
Air-popped popcorn,93,1.1,0.2,0.0,1.0,18.6,3.6,0.2,3.0,"[B6:0.1]","[Magnesium:35.0]",100,pack
Cheese sticks,280,20.0,13.0,60.0,620.0,2.0,0.0,0.2,20.0,"[A:250.0,D:0.5]","[Calcium:720.0]",100,quantity
Protein bar,350,10.0,4.0,30.0,250.0,35.0,5.0,15.0,20.0,"[B6:0.5,E:3.0]","[Calcium:150.0,Iron:2.0]",100,pack
Yogurt parfait,120,2.5,1.5,10.0,70.0,18.0,2.0,14.0,5.0,"[D:1.0,B12:0.8]","[Calcium:150.0]",100,bowl
Meatloaf,230,12.0,4.5,70.0,450.0,10.0,1.0,5.0,20.0,"[B6:0.4]","[Iron:2.5,Zinc:3.0]",100,plate
Chicken Alfredo,200,13.0,7.0,50.0,450.0,12.0,1.0,2.0,15.0,"[A:400.0,D:1.0]","[Calcium:140.0]",100,plate
Fish and chips,260,12.0,3.0,60.0,600.0,30.0,3.0,2.0,14.0,"[B6:0.3]","[Iron:1.0,Potassium:300.0]",100,plate
Shrimp cocktail,99,0.5,0.1,150.0,500.0,5.0,0.0,3.0,20.0,"[B12:1.2]","[Calcium:70.0,Iron:0.5]",100,bowl
Veggie omelette,153,11.0,3.5,210.0,220.0,3.0,1.5,2.0,12.0,"[A:750.0,C:20.0]","[Calcium:50.0,Iron:1.5]",100,plate
Quiche,220,15.0,7.0,140.0,450.0,14.0,1.0,2.0,10.0,"[A:600.0,D:1.2]","[Calcium:100.0]",100,plate
Hot dog (with bun),290,22.0,8.0,40.0,900.0,18.0,1.0,5.0,11.0,"[B12:2.0]","[Iron:1.0,Sodium:900.0]",100,quantity
French fries,312,15.0,2.5,0.0,210.0,41.0,4.0,0.3,3.4,"[C:8.0]","[Potassium:540.0]",100,plate
Nachos with cheese,450,28.0,12.0,30.0,620.0,34.0,3.0,4.0,15.0,"[A:250.0,D:0.8]","[Calcium:180.0,Iron:2.0]",100,plate
